researcher name,grant start years,paper1,paper2,paper3,paper4,paper5,paper6
Mateusz Kolanczyk,[2007],"10.1093_hmg_ddm032.txt , 10.1002_ajmg.a.33045.txt , 10.1186_1471-2474-11-105.txt , 10.1186_1741-7015-9-82.txt , 10.1093_hmg_ddt515.txt , 10.1016_j.bone.2014.06.012.txt",,,,,
Marianne James,[2009],"10.1186_1755-8794-2-42.txt , 10.1083_jcb.201503081.txt",,,,,
Jianzhong Yu,[2011],10.1016_j.str.2013.07.008.txt,,,,,
Nancy Ratner,"[2012, 2013, 2014, 2013, 2015, 2015]","10.1155_2012_620834.txt , 10.1523_JNEUROSCI.3242-12.2012.txt , 10.1158_0008-5472.CAN-11-4092.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_pbc.23015.txt , 10.1002_ajmg.a.35535.txt , 10.18632_oncotarget.844.txt , 10.1016_j.celrep.2013.08.011.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.35760.txt , 10.1172_JCI60578.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.18632_oncotarget.844.txt , 10.1016_j.celrep.2013.08.011.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.35760.txt , 10.1172_JCI60578.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.18632_oncotarget.844.txt , 10.1016_j.celrep.2013.08.011.txt , 10.1038_ng.2641.txt , 10.1002_ajmg.a.35760.txt , 10.1172_JCI60578.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1038_onc.2012.579.txt , 10.1158_1078-0432.CCR-13-0780.txt , 10.1016_j.ajpath.2014.04.006.txt , 10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt","10.1002_pbc.25546.txt , 10.1002_ajmg.a.36793.txt , 10.1038_nrc3911.txt , 10.1056_NEJMoa1605943.txt , 10.1073_pnas.1607298113.txt , 10.1002_ana.24659.txt , 10.1038_bjc.2016.354.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.ccell.2018.01.005.txt"
David Meyerholz,[2015],,,,,,
Timothy P Cripe,"[2008, 2011]",,,,,,
Annabel Parret,[2008],"10.1001_jama.2009.1663.txt , 10.1016_j.ccr.2009.05.009.txt",,,,,
Angela Hadjipanayis,[2006],10.1038_nature11252.txt,,,,,
Bradley Welling,[2014],"10.1093_neuonc_now032.txt , 10.1212_WNL.0000000000002933.txt",,,,,
Kim AeRang,[2009],,,,,,
Brian Schmutzler,[2007],,,,,,
Ernesto Diaz-Flores,[2006],"10.1101_gad.1587907.txt , 10.1126_scisignal.2004125.txt",,,,,
David H Gutmann,"[2008, 2015]",10.1038_nn.3348.txt,,,,,
Maryam Jahanshahi,[2010],"10.1371_journal.pone.0078880.txt , 10.1002_ajmg.a.36312.txt",,,,,
Jean Nakamura,[2013],,,,,,
AeRang Kim,[2015],10.1056_NEJMoa1605943.txt,,,,,
Emmanuelle Di Tomaso,[2007],"10.1056_NEJMoa0902579.txt , 10.1158_0008-5472.CAN-09-3107.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1593_neo.111600.txt , 10.1038_bjc.2016.354.txt",,,,,
Joseph Kissil,"[2009, 2012, 2015]","10.1002_ajmg.a.33189.txt , 10.1007_s00401-011-0905-0.txt , 10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt","10.1007_s00401-011-0905-0.txt , 10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt","10.1038_bjc.2016.354.txt , 10.18632_oncotarget.4858.txt",,,
Kevin M Shannon,"[2008, 2008, 2011, 2013, 2014, 2015, 2016]",,,,,,
Michael J Fisher,"[2012, 2015, 2015]",,,,,,
Marisa Ann Fuse,[2015],,,,,,
Bruce Korf,"[2012, 2015]","10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.36312.txt , 10.1002_pbc.24873.txt , 10.1212_WNL.0000000000000997.txt , 10.1002_ajmg.a.37089.txt , 10.1002_humu.22832.txt , 10.1212_WNL.0000000000002932.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.37723.txt , 10.1371_journal.pone.0178639.txt , 10.1002_ajmg.a.38239.txt","10.1002_ajmg.a.37089.txt , 10.1002_humu.22832.txt , 10.1212_WNL.0000000000002932.txt , 10.1038_bjc.2016.354.txt , 10.1002_ajmg.a.37723.txt , 10.1371_journal.pone.0178639.txt , 10.1002_ajmg.a.38239.txt",,,,
Sherry K Phillips,[2010],,,,,,
Filippo Giancotti,[2012],"10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1002_ajmg.a.38239.txt",,,,,
Tomoda Toshifumi,[2011],,,,,,
Christopher Maxwell,[2012],,,,,,
Ana Olivera,[2009],,,,,,
Jim Gusella,[2014],,,,,,
Dipak N Patil,[2015],,,,,,
Robert A Avery,[2011],,,,,,
Laura Papi,[2011],"10.1002_ajmg.a.35760.txt , 10.1002_ajmg.a.36312.txt , 10.1038_ejhg.2014.220.txt",,,,,
Wei Li,[2009],"10.1016_j.cell.2010.01.029.txt , 10.1016_j.cell.2010.01.029.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1038_embor.2012.11.txt , 10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.ccr.2014.05.001.txt",,,,,
Jean De la Croix Ndong,[2012],"10.1038_nm.3583.txt , 10.1002_jbmr.2316.txt",,,,,
Maria Acosta,"[2012, 2012, 2013]",,,,,,
Xu Jiajie,[2014],,,,,,
Gregory Riggins,[2014],,,,,,
Jeffrey Field,"[2015, 2016]",,,,,,
Wade Clapp,"[2011, 2013, 2014, 2014, 2013]","10.1016_S1470-2045(12)70414-X.txt , 10.1007_s12307-012-0115-x.txt , 10.1007_s00401-011-0905-0.txt , 10.1146_annurev-pathol-011811-132441.txt , 10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt","10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt","10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt","10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt","10.1038_nature13561.txt , 10.1002_ajmg.a.36312.txt , 10.1158_2159-8290.CD-14-0159.txt , 10.1038_nn.3822.txt , 10.1093_hmg_ddu414.txt , 10.1007_s00401-016-1583-8.txt , 10.1002_ajmg.a.38239.txt",
Lei Xu,"[2013, 2013, 2015]","10.1002_ajmg.a.36754.txt , 10.1073_pnas.1424563112.txt , 10.1073_pnas.1512570112.txt , 10.1073_pnas.1525349113.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.expneurol.2017.09.008.txt","10.1002_ajmg.a.36754.txt , 10.1073_pnas.1424563112.txt , 10.1073_pnas.1512570112.txt , 10.1073_pnas.1525349113.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.expneurol.2017.09.008.txt","10.1073_pnas.1424563112.txt , 10.1073_pnas.1512570112.txt , 10.1073_pnas.1525349113.txt , 10.1002_ajmg.a.38239.txt , 10.1016_j.expneurol.2017.09.008.txt",,,
Steven Lewis Carroll,[2015],,,,,,
Alexander Schulz,"[2012, 2015]","10.1038_nn.3348.txt , 10.1093_brain_awt327.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt , 10.1186_s40478-014-0082-1.txt , 10.1007_s00401-016-1583-8.txt , 10.1371_journal.pone.0159718.txt","10.1007_s00401-016-1583-8.txt , 10.1371_journal.pone.0159718.txt",,,,
Antonio Iavarone,[2015],,,,,,
Aubin Moutal,[2015],"10.1073_pnas.1610531113.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.neuroscience.2018.02.025.txt , 10.1016_j.neuroscience.2018.04.002.txt",,,,,
Ting Su,[2013],"10.1126_science.1233158.txt , 10.1007_s10637-012-9912-9.txt , 10.1021_jm301762v.txt , 10.1093_jnci_djs471.txt , 10.1016_j.ejca.2013.01.013.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_cddis.2012.200.txt , 10.2147_OTT.S34678.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1007_s10897-014-9688-5.txt , 10.18632_oncotarget.1609.txt , 10.1016_j.ccr.2014.02.017.txt , 10.1016_j.celrep.2013.12.041.txt , 10.1038_ng.3116.txt , 10.1007_s11060-014-1522-2.txt , 10.1186_s13013-015-0041-z.txt , 10.1371_journal.pone.0158476.txt , 10.1073_pnas.1607298113.txt , 10.1371_journal.pone.0159718.txt , 10.1073_pnas.1525349113.txt , 10.1371_journal.pone.0178639.txt , 10.1371_journal.pone.0178316.txt , 10.1186_s12864-017-3519-7.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.devcel.2017.02.004.txt , 10.1038_gim.2018.28.txt",,,,,
Verena Staedtke,[2016],10.1007_s13311-017-0518-y.txt,,,,,
Jean Gouzi,[2010],,,,,,
David H Viskochil,[2017],,,,,,
Sutapa Banjeree,[2008],,,,,,
Jessica C Sieren,[2015],,,,,,
Cristina Fernandez-Valle,"[2007, 2011, 2013, 2014, 2015]","10.1523_JNEUROSCI.6207-11.2012.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt","10.1523_JNEUROSCI.6207-11.2012.txt , 10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt","10.1002_ajmg.a.36312.txt , 10.1002_ajmg.a.36754.txt",,
Manuel Lopez Arnada,[2014],,,,,,
Lai Man Natalie Wu,[2017],10.1016_j.ccell.2018.01.005.txt,,,,,
Lee Da Young,[2007],,,,,,
Rajesh Khanna,"[2010, 2012, 2016]","10.1074_jbc.M112.378695.txt , 10.1038_nn.3822.txt , 10.1073_pnas.1610531113.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.neuroscience.2018.02.025.txt , 10.1016_j.neuroscience.2018.04.002.txt","10.1074_jbc.M112.378695.txt , 10.1038_nn.3822.txt , 10.1073_pnas.1610531113.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.neuroscience.2018.02.025.txt , 10.1016_j.neuroscience.2018.04.002.txt","10.1073_pnas.1610531113.txt , 10.1007_s12035-017-0653-9.txt , 10.1016_j.neuroscience.2018.02.025.txt , 10.1016_j.neuroscience.2018.04.002.txt",,,
Steven D Rhodes,[2011],"10.1002_jbmr.1992.txt , 10.1002_jbmr.2538.txt",,,,,
Stefan Mundlos,[2006],"10.1093_hmg_ddm032.txt , 10.1002_ajmg.a.33045.txt , 10.1186_1741-7015-9-82.txt , 10.1016_j.bone.2014.06.012.txt",,,,,
Jonathan Payne,[2011],"10.1002_ajmg.a.36338.txt , 10.1212_WNL.0000000000002928.txt , 10.1038_bjc.2016.354.txt",,,,,
Charles Yates,[2013],10.1002_ajmg.a.36754.txt,,,,,
Chunling Yi,[2009],"10.1101_gad.1938710.txt , 10.1101_gad.1964810.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1007_s00401-011-0905-0.txt , 10.1126_scisignal.2004060.txt , 10.1038_bjc.2016.354.txt",,,,,
Tao Sun,[2012],10.1172_JCI71048.txt,,,,,
Linnea Vose,[2008],"10.1002_ajmg.a.33189.txt , 10.1038_bjc.2016.354.txt",,,,,
Wu Xu,[2011],,,,,,
Matthew Karolak,[2013],,,,,,
Cynthia M Hingtgen,[2011],10.1016_S1470-2045(12)70414-X.txt,,,,,
Ionica Masgras,[2016],10.3389_fonc.2017.00058.txt,,,,,
Jessica Casaletto,[2006],"10.1146_annurev.pathol.2.010506.091940.txt , 10.1038_sj.bjc.6604002.txt",,,,,
Abraham Jacob,[2007],"10.1158_1078-0432.CCR-08-3011.txt , 10.1093_neuonc_nor072.txt , 10.1002_ajmg.a.34359.txt , 10.1158_0008-5472.CAN-12-1888.txt",,,,,
Mohensi Jahanshahi,[2010],,,,,,
Justin Guinney,[2014],,,,,,
Karen Cichowski,"[2006, 2008, 2011, 2013, 2014, 2015]","10.1016_j.cub.2007.11.066.txt , 10.1016_j.ccr.2009.05.009.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.08.014.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1016_j.cub.2007.11.066.txt , 10.1016_j.ccr.2009.05.009.txt , 10.1002_ajmg.a.33189.txt , 10.1016_j.ccr.2011.08.014.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1016_j.ccr.2011.08.014.txt , 10.1016_j.ccr.2011.02.017.txt , 10.1002_gcc.20921.txt , 10.1101_gad.190876.112.txt , 10.1007_s00401-011-0905-0.txt , 10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1158_2159-8290.CD-13-0146.txt , 10.1158_2159-8290.CD-12-0313.txt , 10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1038_nature13561.txt , 10.1158_0008-5472.CAN-13-1934.txt , 10.1158_2159-8290.CD-14-0286.txt , 10.1002_ajmg.a.36312.txt , 10.1016_j.celrep.2013.12.001.txt , 10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt","10.1002_pbc.25546.txt , 10.1038_bjc.2016.354.txt , 10.1172_JCI85183.txt , 10.1016_j.biochi.2017.01.001.txt , 10.1002_ajmg.a.38239.txt"
Liao Chung-Ping,[2014],,,,,,
Ludwine Messiaen,[2014],"10.1002_ajmg.a.36754.txt , 10.1186_gb-2014-15-6-r80.txt , 10.1002_ajmg.a.37089.txt , 10.1002_humu.22832.txt , 10.1038_bjc.2016.354.txt , 10.1111_bjd.14873.txt",,,,,
Matthias Karajannis,[2011],"10.1007_s00401-011-0905-0.txt , 10.1002_ajmg.a.36754.txt",,,,,
Walker James,[2014],,,,,,
A Thomas Look,"[2010, 2015]",10.7554_eLife.14713.txt,10.7554_eLife.14713.txt,,,,
Gary Johnson,[2014],,,,,,
